Reaction_No,Reactant_1,Reactant_2,Ligand,Base,Solvent,Yield
598,"1b, 6-Br-Q","2a, Boronic Acid","L10, dppf","B7, NaHCO3","S4, DMF",0.174515
599,"1b, 6-Br-Q","2a, Boronic Acid","L11, Xantphos","B7, NaHCO3","S4, DMF",0.014808
600,"1b, 6-Br-Q","2a, Boronic Acid","L12, None","B7, NaHCO3","S4, DMF",0.078677
601,"1b, 6-Br-Q","2a, Boronic Acid","L1.0, P(tBu)3","B4, CsF","S4, DMF",0.09484
602,"1b, 6-Br-Q","2a, Boronic Acid","L2, P(Ph)3 ","B4, CsF","S4, DMF",0.846114
603,"1b, 6-Br-Q","2a, Boronic Acid","L3, P(Ph)3 ","B4, CsF","S4, DMF",0.579442
604,"1b, 6-Br-Q","2a, Boronic Acid","L4, P(Cy)3","B4, CsF","S4, DMF",0.575607
605,"1b, 6-Br-Q","2a, Boronic Acid","L5, P(o-Tol)3","B4, CsF","S4, DMF",0.145095
606,"1b, 6-Br-Q","2a, Boronic Acid","L6, CataCXium A","B4, CsF","S4, DMF",0.803625
607,"1b, 6-Br-Q","2a, Boronic Acid","L7, SPhos","B4, CsF","S4, DMF",0.622567
608,"1b, 6-Br-Q","2a, Boronic Acid","L8, dtbpf","B4, CsF","S4, DMF",0.28709
609,"1b, 6-Br-Q","2a, Boronic Acid","L9, XPhos","B4, CsF","S4, DMF",0.448113
610,"1b, 6-Br-Q","2a, Boronic Acid","L10, dppf","B4, CsF","S4, DMF",0.143778
611,"1b, 6-Br-Q","2a, Boronic Acid","L11, Xantphos","B4, CsF","S4, DMF",0.018776
612,"1b, 6-Br-Q","2a, Boronic Acid","L12, None","B4, CsF","S4, DMF",0.159981
613,"1b, 6-Br-Q","2a, Boronic Acid","L1.0, P(tBu)3","B5, K3PO4","S4, DMF",0.507931
614,"1b, 6-Br-Q","2a, Boronic Acid","L2, P(Ph)3 ","B5, K3PO4","S4, DMF",0.729422
615,"1b, 6-Br-Q","2a, Boronic Acid","L3, P(Ph)3 ","B5, K3PO4","S4, DMF",0.566517
616,"1b, 6-Br-Q","2a, Boronic Acid","L4, P(Cy)3","B5, K3PO4","S4, DMF",0.299626
617,"1b, 6-Br-Q","2a, Boronic Acid","L5, P(o-Tol)3","B5, K3PO4","S4, DMF",0.161955
618,"1b, 6-Br-Q","2a, Boronic Acid","L6, CataCXium A","B5, K3PO4","S4, DMF",0.657088
619,"1b, 6-Br-Q","2a, Boronic Acid","L7, SPhos","B5, K3PO4","S4, DMF",0.222386
620,"1b, 6-Br-Q","2a, Boronic Acid","L8, dtbpf","B5, K3PO4","S4, DMF",0.231055
621,"1b, 6-Br-Q","2a, Boronic Acid","L9, XPhos","B5, K3PO4","S4, DMF",0.293492
622,"1b, 6-Br-Q","2a, Boronic Acid","L10, dppf","B5, K3PO4","S4, DMF",0.127626
623,"1b, 6-Br-Q","2a, Boronic Acid","L11, Xantphos","B5, K3PO4","S4, DMF",0.013766
624,"1b, 6-Br-Q","2a, Boronic Acid","L12, None","B5, K3PO4","S4, DMF",0.074493
625,"1b, 6-Br-Q","2a, Boronic Acid","L1.0, P(tBu)3","B6, KOH","S4, DMF",0.491501
626,"1b, 6-Br-Q","2a, Boronic Acid","L2, P(Ph)3 ","B6, KOH","S4, DMF",0.801809
627,"1b, 6-Br-Q","2a, Boronic Acid","L3, P(Ph)3 ","B6, KOH","S4, DMF",0.672248
628,"1b, 6-Br-Q","2a, Boronic Acid","L4, P(Cy)3","B6, KOH","S4, DMF",0.607144
629,"1b, 6-Br-Q","2a, Boronic Acid","L5, P(o-Tol)3","B6, KOH","S4, DMF",0.205742
630,"1b, 6-Br-Q","2a, Boronic Acid","L6, CataCXium A","B6, KOH","S4, DMF",0.849881
631,"1b, 6-Br-Q","2a, Boronic Acid","L7, SPhos","B6, KOH","S4, DMF",0.626649
632,"1b, 6-Br-Q","2a, Boronic Acid","L8, dtbpf","B6, KOH","S4, DMF",0.403219
633,"1b, 6-Br-Q","2a, Boronic Acid","L9, XPhos","B6, KOH","S4, DMF",0.305544
634,"1b, 6-Br-Q","2a, Boronic Acid","L10, dppf","B6, KOH","S4, DMF",0.157446
635,"1b, 6-Br-Q","2a, Boronic Acid","L11, Xantphos","B6, KOH","S4, DMF",0.141044
636,"1b, 6-Br-Q","2a, Boronic Acid","L12, None","B6, KOH","S4, DMF",0.215209
637,"1b, 6-Br-Q","2a, Boronic Acid","L1.0, P(tBu)3","B3, LiOtBu","S4, DMF",0.820746
638,"1b, 6-Br-Q","2a, Boronic Acid","L2, P(Ph)3 ","B3, LiOtBu","S4, DMF",0.812282
639,"1b, 6-Br-Q","2a, Boronic Acid","L3, P(Ph)3 ","B3, LiOtBu","S4, DMF",0.590223
640,"1b, 6-Br-Q","2a, Boronic Acid","L4, P(Cy)3","B3, LiOtBu","S4, DMF",0.641297
641,"1b, 6-Br-Q","2a, Boronic Acid","L5, P(o-Tol)3","B3, LiOtBu","S4, DMF",0.168705
642,"1b, 6-Br-Q","2a, Boronic Acid","L6, CataCXium A","B3, LiOtBu","S4, DMF",0.773775
643,"1b, 6-Br-Q","2a, Boronic Acid","L7, SPhos","B3, LiOtBu","S4, DMF",0.485045
644,"1b, 6-Br-Q","2a, Boronic Acid","L8, dtbpf","B3, LiOtBu","S4, DMF",0.391431
645,"1b, 6-Br-Q","2a, Boronic Acid","L9, XPhos","B3, LiOtBu","S4, DMF",0.189501
646,"1b, 6-Br-Q","2a, Boronic Acid","L10, dppf","B3, LiOtBu","S4, DMF",0.140696
647,"1b, 6-Br-Q","2a, Boronic Acid","L11, Xantphos","B3, LiOtBu","S4, DMF",0.038545
648,"1b, 6-Br-Q","2a, Boronic Acid","L12, None","B3, LiOtBu","S4, DMF",0.083881
649,"1b, 6-Br-Q","2a, Boronic Acid","L1.0, P(tBu)3","B2, Et3N","S4, DMF",0.669669
650,"1b, 6-Br-Q","2a, Boronic Acid","L2, P(Ph)3 ","B2, Et3N","S4, DMF",0.695767
651,"1b, 6-Br-Q","2a, Boronic Acid","L3, P(Ph)3 ","B2, Et3N","S4, DMF",0.500621
652,"1b, 6-Br-Q","2a, Boronic Acid","L4, P(Cy)3","B2, Et3N","S4, DMF",0.382453
653,"1b, 6-Br-Q","2a, Boronic Acid","L5, P(o-Tol)3","B2, Et3N","S4, DMF",0.232349
654,"1b, 6-Br-Q","2a, Boronic Acid","L6, CataCXium A","B2, Et3N","S4, DMF",0.650272
655,"1b, 6-Br-Q","2a, Boronic Acid","L7, SPhos","B2, Et3N","S4, DMF",0.227625
656,"1b, 6-Br-Q","2a, Boronic Acid","L8, dtbpf","B2, Et3N","S4, DMF",0.195661
657,"1b, 6-Br-Q","2a, Boronic Acid","L9, XPhos","B2, Et3N","S4, DMF",0.222675
658,"1b, 6-Br-Q","2a, Boronic Acid","L10, dppf","B2, Et3N","S4, DMF",0.128105
659,"1b, 6-Br-Q","2a, Boronic Acid","L11, Xantphos","B2, Et3N","S4, DMF",0.009285
660,"1b, 6-Br-Q","2a, Boronic Acid","L12, None","B2, Et3N","S4, DMF",0.082107
661,"1b, 6-Br-Q","2a, Boronic Acid","L1.0, P(tBu)3","B1, None","S4, DMF",0.684985
662,"1b, 6-Br-Q","2a, Boronic Acid","L2, P(Ph)3 ","B1, None","S4, DMF",0.728531
663,"1b, 6-Br-Q","2a, Boronic Acid","L3, P(Ph)3 ","B1, None","S4, DMF",0.575416
664,"1b, 6-Br-Q","2a, Boronic Acid","L4, P(Cy)3","B1, None","S4, DMF",0.286953
665,"1b, 6-Br-Q","2a, Boronic Acid","L5, P(o-Tol)3","B1, None","S4, DMF",0.179096
666,"1b, 6-Br-Q","2a, Boronic Acid","L6, CataCXium A","B1, None","S4, DMF",0.623248
667,"1b, 6-Br-Q","2a, Boronic Acid","L7, SPhos","B1, None","S4, DMF",0.207689
668,"1b, 6-Br-Q","2a, Boronic Acid","L8, dtbpf","B1, None","S4, DMF",0.205856
669,"1b, 6-Br-Q","2a, Boronic Acid","L9, XPhos","B1, None","S4, DMF",0.150952
670,"1b, 6-Br-Q","2a, Boronic Acid","L10, dppf","B1, None","S4, DMF",0.17152
671,"1b, 6-Br-Q","2a, Boronic Acid","L11, Xantphos","B1, None","S4, DMF",0.0101
672,"1b, 6-Br-Q","2a, Boronic Acid","L12, None","B1, None","S4, DMF",0.089148
673,"1b, 6-Br-Q","2a, Boronic Acid","L1.0, P(tBu)3","B8, NaOH","S1, MeOH",0.850483
674,"1b, 6-Br-Q","2a, Boronic Acid","L2, P(Ph)3 ","B8, NaOH","S1, MeOH",0.928014
675,"1b, 6-Br-Q","2a, Boronic Acid","L3, P(Ph)3 ","B8, NaOH","S1, MeOH",0.773378
676,"1b, 6-Br-Q","2a, Boronic Acid","L4, P(Cy)3","B8, NaOH","S1, MeOH",0.9124
677,"1b, 6-Br-Q","2a, Boronic Acid","L5, P(o-Tol)3","B8, NaOH","S1, MeOH",0.869987
678,"1b, 6-Br-Q","2a, Boronic Acid","L6, CataCXium A","B8, NaOH","S1, MeOH",0.915768
679,"1b, 6-Br-Q","2a, Boronic Acid","L7, SPhos","B8, NaOH","S1, MeOH",0.92884
680,"1b, 6-Br-Q","2a, Boronic Acid","L8, dtbpf","B8, NaOH","S1, MeOH",0.545191
681,"1b, 6-Br-Q","2a, Boronic Acid","L9, XPhos","B8, NaOH","S1, MeOH",0.912733
682,"1b, 6-Br-Q","2a, Boronic Acid","L10, dppf","B8, NaOH","S1, MeOH",0.551599
683,"1b, 6-Br-Q","2a, Boronic Acid","L11, Xantphos","B8, NaOH","S1, MeOH",0.008035
684,"1b, 6-Br-Q","2a, Boronic Acid","L12, None","B8, NaOH","S1, MeOH",0.714861
685,"1b, 6-Br-Q","2a, Boronic Acid","L1.0, P(tBu)3","B7, NaHCO3","S1, MeOH",0.778848
686,"1b, 6-Br-Q","2a, Boronic Acid","L2, P(Ph)3 ","B7, NaHCO3","S1, MeOH",0.926046
687,"1b, 6-Br-Q","2a, Boronic Acid","L3, P(Ph)3 ","B7, NaHCO3","S1, MeOH",0.817344
688,"1b, 6-Br-Q","2a, Boronic Acid","L4, P(Cy)3","B7, NaHCO3","S1, MeOH",0.922432
689,"1b, 6-Br-Q","2a, Boronic Acid","L5, P(o-Tol)3","B7, NaHCO3","S1, MeOH",0.937904
690,"1b, 6-Br-Q","2a, Boronic Acid","L6, CataCXium A","B7, NaHCO3","S1, MeOH",0.869794
691,"1b, 6-Br-Q","2a, Boronic Acid","L7, SPhos","B7, NaHCO3","S1, MeOH",0.856903
692,"1b, 6-Br-Q","2a, Boronic Acid","L8, dtbpf","B7, NaHCO3","S1, MeOH",0.312726
693,"1b, 6-Br-Q","2a, Boronic Acid","L9, XPhos","B7, NaHCO3","S1, MeOH",0.82193
694,"1b, 6-Br-Q","2a, Boronic Acid","L10, dppf","B7, NaHCO3","S1, MeOH",0.273703
695,"1b, 6-Br-Q","2a, Boronic Acid","L11, Xantphos","B7, NaHCO3","S1, MeOH",0.021762
696,"1b, 6-Br-Q","2a, Boronic Acid","L12, None","B7, NaHCO3","S1, MeOH",0.511039
697,"1b, 6-Br-Q","2a, Boronic Acid","L1.0, P(tBu)3","B4, CsF","S1, MeOH",0.695589
698,"1b, 6-Br-Q","2a, Boronic Acid","L2, P(Ph)3 ","B4, CsF","S1, MeOH",0.754557
699,"1b, 6-Br-Q","2a, Boronic Acid","L3, P(Ph)3 ","B4, CsF","S1, MeOH",0.755842
700,"1b, 6-Br-Q","2a, Boronic Acid","L4, P(Cy)3","B4, CsF","S1, MeOH",0.75425
701,"1b, 6-Br-Q","2a, Boronic Acid","L5, P(o-Tol)3","B4, CsF","S1, MeOH",0.874064
702,"1b, 6-Br-Q","2a, Boronic Acid","L6, CataCXium A","B4, CsF","S1, MeOH",0.804993
703,"1b, 6-Br-Q","2a, Boronic Acid","L7, SPhos","B4, CsF","S1, MeOH",0.566404
704,"1b, 6-Br-Q","2a, Boronic Acid","L8, dtbpf","B4, CsF","S1, MeOH",0.376545
705,"1b, 6-Br-Q","2a, Boronic Acid","L9, XPhos","B4, CsF","S1, MeOH",0.4564
706,"1b, 6-Br-Q","2a, Boronic Acid","L10, dppf","B4, CsF","S1, MeOH",0.163951
707,"1b, 6-Br-Q","2a, Boronic Acid","L11, Xantphos","B4, CsF","S1, MeOH",0.016013
708,"1b, 6-Br-Q","2a, Boronic Acid","L12, None","B4, CsF","S1, MeOH",0.319265
709,"1b, 6-Br-Q","2a, Boronic Acid","L1.0, P(tBu)3","B5, K3PO4","S1, MeOH",0.846208
710,"1b, 6-Br-Q","2a, Boronic Acid","L2, P(Ph)3 ","B5, K3PO4","S1, MeOH",0.946676
711,"1b, 6-Br-Q","2a, Boronic Acid","L3, P(Ph)3 ","B5, K3PO4","S1, MeOH",0.763101
712,"1b, 6-Br-Q","2a, Boronic Acid","L4, P(Cy)3","B5, K3PO4","S1, MeOH",0.888441
713,"1b, 6-Br-Q","2a, Boronic Acid","L5, P(o-Tol)3","B5, K3PO4","S1, MeOH",0.903122
714,"1b, 6-Br-Q","2a, Boronic Acid","L6, CataCXium A","B5, K3PO4","S1, MeOH",0.894196
715,"1b, 6-Br-Q","2a, Boronic Acid","L7, SPhos","B5, K3PO4","S1, MeOH",0.92542
716,"1b, 6-Br-Q","2a, Boronic Acid","L8, dtbpf","B5, K3PO4","S1, MeOH",0.463999
717,"1b, 6-Br-Q","2a, Boronic Acid","L9, XPhos","B5, K3PO4","S1, MeOH",0.906864
718,"1b, 6-Br-Q","2a, Boronic Acid","L10, dppf","B5, K3PO4","S1, MeOH",0.216094
719,"1b, 6-Br-Q","2a, Boronic Acid","L11, Xantphos","B5, K3PO4","S1, MeOH",0.030308
720,"1b, 6-Br-Q","2a, Boronic Acid","L12, None","B5, K3PO4","S1, MeOH",0.665336
721,"1b, 6-Br-Q","2a, Boronic Acid","L1.0, P(tBu)3","B6, KOH","S1, MeOH",0.813253
722,"1b, 6-Br-Q","2a, Boronic Acid","L2, P(Ph)3 ","B6, KOH","S1, MeOH",0.926085
723,"1b, 6-Br-Q","2a, Boronic Acid","L3, P(Ph)3 ","B6, KOH","S1, MeOH",0.716189
724,"1b, 6-Br-Q","2a, Boronic Acid","L4, P(Cy)3","B6, KOH","S1, MeOH",0.897435
725,"1b, 6-Br-Q","2a, Boronic Acid","L5, P(o-Tol)3","B6, KOH","S1, MeOH",0.882403
726,"1b, 6-Br-Q","2a, Boronic Acid","L6, CataCXium A","B6, KOH","S1, MeOH",0.85458
727,"1b, 6-Br-Q","2a, Boronic Acid","L7, SPhos","B6, KOH","S1, MeOH",0.911439
728,"1b, 6-Br-Q","2a, Boronic Acid","L8, dtbpf","B6, KOH","S1, MeOH",0.546839
729,"1b, 6-Br-Q","2a, Boronic Acid","L9, XPhos","B6, KOH","S1, MeOH",0.905473
730,"1b, 6-Br-Q","2a, Boronic Acid","L10, dppf","B6, KOH","S1, MeOH",0.340032
731,"1b, 6-Br-Q","2a, Boronic Acid","L11, Xantphos","B6, KOH","S1, MeOH",0.01023
732,"1b, 6-Br-Q","2a, Boronic Acid","L12, None","B6, KOH","S1, MeOH",0.688943
733,"1b, 6-Br-Q","2a, Boronic Acid","L1.0, P(tBu)3","B3, LiOtBu","S1, MeOH",0.824408
734,"1b, 6-Br-Q","2a, Boronic Acid","L2, P(Ph)3 ","B3, LiOtBu","S1, MeOH",0.928971
735,"1b, 6-Br-Q","2a, Boronic Acid","L3, P(Ph)3 ","B3, LiOtBu","S1, MeOH",0.696043
736,"1b, 6-Br-Q","2a, Boronic Acid","L4, P(Cy)3","B3, LiOtBu","S1, MeOH",0.893373
737,"1b, 6-Br-Q","2a, Boronic Acid","L5, P(o-Tol)3","B3, LiOtBu","S1, MeOH",0.880919
738,"1b, 6-Br-Q","2a, Boronic Acid","L6, CataCXium A","B3, LiOtBu","S1, MeOH",0.855838
739,"1b, 6-Br-Q","2a, Boronic Acid","L7, SPhos","B3, LiOtBu","S1, MeOH",0.922724
740,"1b, 6-Br-Q","2a, Boronic Acid","L8, dtbpf","B3, LiOtBu","S1, MeOH",0.486043
741,"1b, 6-Br-Q","2a, Boronic Acid","L9, XPhos","B3, LiOtBu","S1, MeOH",0.906165
742,"1b, 6-Br-Q","2a, Boronic Acid","L10, dppf","B3, LiOtBu","S1, MeOH",0.21408
743,"1b, 6-Br-Q","2a, Boronic Acid","L11, Xantphos","B3, LiOtBu","S1, MeOH",0.012218
744,"1b, 6-Br-Q","2a, Boronic Acid","L12, None","B3, LiOtBu","S1, MeOH",0.713433
745,"1b, 6-Br-Q","2a, Boronic Acid","L1.0, P(tBu)3","B2, Et3N","S1, MeOH",0.741544
746,"1b, 6-Br-Q","2a, Boronic Acid","L2, P(Ph)3 ","B2, Et3N","S1, MeOH",0.829884
747,"1b, 6-Br-Q","2a, Boronic Acid","L3, P(Ph)3 ","B2, Et3N","S1, MeOH",0.730059
748,"1b, 6-Br-Q","2a, Boronic Acid","L4, P(Cy)3","B2, Et3N","S1, MeOH",0.759927
749,"1b, 6-Br-Q","2a, Boronic Acid","L5, P(o-Tol)3","B2, Et3N","S1, MeOH",0.852767
750,"1b, 6-Br-Q","2a, Boronic Acid","L6, CataCXium A","B2, Et3N","S1, MeOH",0.828385
751,"1b, 6-Br-Q","2a, Boronic Acid","L7, SPhos","B2, Et3N","S1, MeOH",0.587873
752,"1b, 6-Br-Q","2a, Boronic Acid","L8, dtbpf","B2, Et3N","S1, MeOH",0.371234
753,"1b, 6-Br-Q","2a, Boronic Acid","L9, XPhos","B2, Et3N","S1, MeOH",0.523664
754,"1b, 6-Br-Q","2a, Boronic Acid","L10, dppf","B2, Et3N","S1, MeOH",0.21114
755,"1b, 6-Br-Q","2a, Boronic Acid","L11, Xantphos","B2, Et3N","S1, MeOH",0.005023
756,"1b, 6-Br-Q","2a, Boronic Acid","L12, None","B2, Et3N","S1, MeOH",0.292575
757,"1b, 6-Br-Q","2a, Boronic Acid","L1.0, P(tBu)3","B1, None","S1, MeOH",0.538044
758,"1b, 6-Br-Q","2a, Boronic Acid","L2, P(Ph)3 ","B1, None","S1, MeOH",0.627804
759,"1b, 6-Br-Q","2a, Boronic Acid","L3, P(Ph)3 ","B1, None","S1, MeOH",0.615728
760,"1b, 6-Br-Q","2a, Boronic Acid","L4, P(Cy)3","B1, None","S1, MeOH",0.52544
761,"1b, 6-Br-Q","2a, Boronic Acid","L5, P(o-Tol)3","B1, None","S1, MeOH",0.637819
762,"1b, 6-Br-Q","2a, Boronic Acid","L6, CataCXium A","B1, None","S1, MeOH",0.623652
763,"1b, 6-Br-Q","2a, Boronic Acid","L7, SPhos","B1, None","S1, MeOH",0.362016
764,"1b, 6-Br-Q","2a, Boronic Acid","L8, dtbpf","B1, None","S1, MeOH",0.262645
765,"1b, 6-Br-Q","2a, Boronic Acid","L9, XPhos","B1, None","S1, MeOH",0.266944
766,"1b, 6-Br-Q","2a, Boronic Acid","L10, dppf","B1, None","S1, MeOH",0.159424
767,"1b, 6-Br-Q","2a, Boronic Acid","L11, Xantphos","B1, None","S1, MeOH",0.011834
768,"1b, 6-Br-Q","2a, Boronic Acid","L12, None","B1, None","S1, MeOH",0.208243
769,"1c, 6-OTf-Q","2a, Boronic Acid","L1.0, P(tBu)3","B8, NaOH","S3, MeCN",0.563815
770,"1c, 6-OTf-Q","2a, Boronic Acid","L2, P(Ph)3 ","B8, NaOH","S3, MeCN",0.966033
771,"1c, 6-OTf-Q","2a, Boronic Acid","L3, P(Ph)3 ","B8, NaOH","S3, MeCN",0.837852
772,"1c, 6-OTf-Q","2a, Boronic Acid","L4, P(Cy)3","B8, NaOH","S3, MeCN",0.875699
773,"1c, 6-OTf-Q","2a, Boronic Acid","L5, P(o-Tol)3","B8, NaOH","S3, MeCN",0.699934
774,"1c, 6-OTf-Q","2a, Boronic Acid","L6, CataCXium A","B8, NaOH","S3, MeCN",0.914652
775,"1c, 6-OTf-Q","2a, Boronic Acid","L7, SPhos","B8, NaOH","S3, MeCN",0.914671
776,"1c, 6-OTf-Q","2a, Boronic Acid","L8, dtbpf","B8, NaOH","S3, MeCN",0.849527
777,"1c, 6-OTf-Q","2a, Boronic Acid","L9, XPhos","B8, NaOH","S3, MeCN",0.926924
778,"1c, 6-OTf-Q","2a, Boronic Acid","L10, dppf","B8, NaOH","S3, MeCN",0.523963
779,"1c, 6-OTf-Q","2a, Boronic Acid","L11, Xantphos","B8, NaOH","S3, MeCN",0.227751
780,"1c, 6-OTf-Q","2a, Boronic Acid","L12, None","B8, NaOH","S3, MeCN",0.639115
781,"1c, 6-OTf-Q","2a, Boronic Acid","L1.0, P(tBu)3","B7, NaHCO3","S3, MeCN",0.668575
782,"1c, 6-OTf-Q","2a, Boronic Acid","L2, P(Ph)3 ","B7, NaHCO3","S3, MeCN",0.985294
783,"1c, 6-OTf-Q","2a, Boronic Acid","L3, P(Ph)3 ","B7, NaHCO3","S3, MeCN",0.942641
784,"1c, 6-OTf-Q","2a, Boronic Acid","L4, P(Cy)3","B7, NaHCO3","S3, MeCN",0.930473
785,"1c, 6-OTf-Q","2a, Boronic Acid","L5, P(o-Tol)3","B7, NaHCO3","S3, MeCN",0.784359
786,"1c, 6-OTf-Q","2a, Boronic Acid","L6, CataCXium A","B7, NaHCO3","S3, MeCN",0.927684
787,"1c, 6-OTf-Q","2a, Boronic Acid","L7, SPhos","B7, NaHCO3","S3, MeCN",0.783069
788,"1c, 6-OTf-Q","2a, Boronic Acid","L8, dtbpf","B7, NaHCO3","S3, MeCN",0.406774
789,"1c, 6-OTf-Q","2a, Boronic Acid","L9, XPhos","B7, NaHCO3","S3, MeCN",0.780772
790,"1c, 6-OTf-Q","2a, Boronic Acid","L10, dppf","B7, NaHCO3","S3, MeCN",0.796108
791,"1c, 6-OTf-Q","2a, Boronic Acid","L11, Xantphos","B7, NaHCO3","S3, MeCN",0.006991
792,"1c, 6-OTf-Q","2a, Boronic Acid","L12, None","B7, NaHCO3","S3, MeCN",0.531092
793,"1c, 6-OTf-Q","2a, Boronic Acid","L1.0, P(tBu)3","B4, CsF","S3, MeCN",0.661273
794,"1c, 6-OTf-Q","2a, Boronic Acid","L2, P(Ph)3 ","B4, CsF","S3, MeCN",0.964859
795,"1c, 6-OTf-Q","2a, Boronic Acid","L3, P(Ph)3 ","B4, CsF","S3, MeCN",0.93689
796,"1c, 6-OTf-Q","2a, Boronic Acid","L4, P(Cy)3","B4, CsF","S3, MeCN",0.764555
797,"1c, 6-OTf-Q","2a, Boronic Acid","L5, P(o-Tol)3","B4, CsF","S3, MeCN",0.61387
798,"1c, 6-OTf-Q","2a, Boronic Acid","L6, CataCXium A","B4, CsF","S3, MeCN",0.883121
799,"1c, 6-OTf-Q","2a, Boronic Acid","L7, SPhos","B4, CsF","S3, MeCN",0.454581
800,"1c, 6-OTf-Q","2a, Boronic Acid","L8, dtbpf","B4, CsF","S3, MeCN",0.349337
801,"1c, 6-OTf-Q","2a, Boronic Acid","L9, XPhos","B4, CsF","S3, MeCN",0.664592
802,"1c, 6-OTf-Q","2a, Boronic Acid","L10, dppf","B4, CsF","S3, MeCN",0.722656
803,"1c, 6-OTf-Q","2a, Boronic Acid","L11, Xantphos","B4, CsF","S3, MeCN",0.029609
804,"1c, 6-OTf-Q","2a, Boronic Acid","L12, None","B4, CsF","S3, MeCN",0.355723
805,"1c, 6-OTf-Q","2a, Boronic Acid","L1.0, P(tBu)3","B5, K3PO4","S3, MeCN",0.702508
806,"1c, 6-OTf-Q","2a, Boronic Acid","L2, P(Ph)3 ","B5, K3PO4","S3, MeCN",0.876807
807,"1c, 6-OTf-Q","2a, Boronic Acid","L3, P(Ph)3 ","B5, K3PO4","S3, MeCN",0.879109
808,"1c, 6-OTf-Q","2a, Boronic Acid","L4, P(Cy)3","B5, K3PO4","S3, MeCN",0.410773
809,"1c, 6-OTf-Q","2a, Boronic Acid","L5, P(o-Tol)3","B5, K3PO4","S3, MeCN",0.442566
810,"1c, 6-OTf-Q","2a, Boronic Acid","L6, CataCXium A","B5, K3PO4","S3, MeCN",0.824072
811,"1c, 6-OTf-Q","2a, Boronic Acid","L7, SPhos","B5, K3PO4","S3, MeCN",0.441143
812,"1c, 6-OTf-Q","2a, Boronic Acid","L8, dtbpf","B5, K3PO4","S3, MeCN",0.342648
813,"1c, 6-OTf-Q","2a, Boronic Acid","L9, XPhos","B5, K3PO4","S3, MeCN",0.470846
814,"1c, 6-OTf-Q","2a, Boronic Acid","L10, dppf","B5, K3PO4","S3, MeCN",0.78419
815,"1c, 6-OTf-Q","2a, Boronic Acid","L11, Xantphos","B5, K3PO4","S3, MeCN",0.043226
816,"1c, 6-OTf-Q","2a, Boronic Acid","L12, None","B5, K3PO4","S3, MeCN",0.365904
817,"1c, 6-OTf-Q","2a, Boronic Acid","L1.0, P(tBu)3","B6, KOH","S3, MeCN",0.680573
818,"1c, 6-OTf-Q","2a, Boronic Acid","L2, P(Ph)3 ","B6, KOH","S3, MeCN",0.964898
819,"1c, 6-OTf-Q","2a, Boronic Acid","L3, P(Ph)3 ","B6, KOH","S3, MeCN",0.902318
820,"1c, 6-OTf-Q","2a, Boronic Acid","L4, P(Cy)3","B6, KOH","S3, MeCN",0.818373
821,"1c, 6-OTf-Q","2a, Boronic Acid","L5, P(o-Tol)3","B6, KOH","S3, MeCN",0.642896
822,"1c, 6-OTf-Q","2a, Boronic Acid","L6, CataCXium A","B6, KOH","S3, MeCN",0.929608
823,"1c, 6-OTf-Q","2a, Boronic Acid","L7, SPhos","B6, KOH","S3, MeCN",0.807288
824,"1c, 6-OTf-Q","2a, Boronic Acid","L8, dtbpf","B6, KOH","S3, MeCN",0.623644
825,"1c, 6-OTf-Q","2a, Boronic Acid","L9, XPhos","B6, KOH","S3, MeCN",0.846748
826,"1c, 6-OTf-Q","2a, Boronic Acid","L10, dppf","B6, KOH","S3, MeCN",0.869196
827,"1c, 6-OTf-Q","2a, Boronic Acid","L11, Xantphos","B6, KOH","S3, MeCN",0.109216
828,"1c, 6-OTf-Q","2a, Boronic Acid","L12, None","B6, KOH","S3, MeCN",0.551875
829,"1c, 6-OTf-Q","2a, Boronic Acid","L1.0, P(tBu)3","B3, LiOtBu","S3, MeCN",0.684308
830,"1c, 6-OTf-Q","2a, Boronic Acid","L2, P(Ph)3 ","B3, LiOtBu","S3, MeCN",0.974247
831,"1c, 6-OTf-Q","2a, Boronic Acid","L3, P(Ph)3 ","B3, LiOtBu","S3, MeCN",0.847397
832,"1c, 6-OTf-Q","2a, Boronic Acid","L4, P(Cy)3","B3, LiOtBu","S3, MeCN",0.920925
833,"1c, 6-OTf-Q","2a, Boronic Acid","L5, P(o-Tol)3","B3, LiOtBu","S3, MeCN",0.827709
834,"1c, 6-OTf-Q","2a, Boronic Acid","L6, CataCXium A","B3, LiOtBu","S3, MeCN",0.911688
835,"1c, 6-OTf-Q","2a, Boronic Acid","L7, SPhos","B3, LiOtBu","S3, MeCN",0.90894
836,"1c, 6-OTf-Q","2a, Boronic Acid","L8, dtbpf","B3, LiOtBu","S3, MeCN",0.854106
837,"1c, 6-OTf-Q","2a, Boronic Acid","L9, XPhos","B3, LiOtBu","S3, MeCN",0.910997
838,"1c, 6-OTf-Q","2a, Boronic Acid","L10, dppf","B3, LiOtBu","S3, MeCN",0.273945
839,"1c, 6-OTf-Q","2a, Boronic Acid","L11, Xantphos","B3, LiOtBu","S3, MeCN",0.160374
840,"1c, 6-OTf-Q","2a, Boronic Acid","L12, None","B3, LiOtBu","S3, MeCN",0.367027
841,"1c, 6-OTf-Q","2a, Boronic Acid","L1.0, P(tBu)3","B2, Et3N","S3, MeCN",0.675936
842,"1c, 6-OTf-Q","2a, Boronic Acid","L2, P(Ph)3 ","B2, Et3N","S3, MeCN",0.974549
